Video Caption,Comment
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,感谢❤️所有工作人员！
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,"挑~~! 有錢搞冬奧做 Show, 不如用來賠償武漢肺炎全世界損失啦! 無聊!!"
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,高度提炼的结果！赞👍
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,整个开幕式失败是新疆人点火跟苏炳添
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,一个开幕式把习近平说过的小船论，人类命运共同体，和平统一全部体现出来了
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,每一个参与者都太了不起了
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,非常感動，非常感謝，非常感恩，多謝您們的堅持與努力，盡力與認真！
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,3年的筹备，只为那100分钟的表演，致敬！
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,感谢上传！
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,谢谢！！
纪录片《盛会》第2集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,尊敬。佩服。对每一个参与者。
