Video Caption,Comment
[冬奥新闻]外国运动员：奥运村里学“中国功夫”|体坛风云,祝福北京冬奧順利成功！
[冬奥新闻]外国运动员：奥运村里学“中国功夫”|体坛风云,这是五禽戏吗
