Video Caption,Comment
纪录片《盛会》第1集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,感谢❤️所有工作者！
纪录片《盛会》第1集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,感谢上传
纪录片《盛会》第1集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,佩服
纪录片《盛会》第1集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,精细到一颗螺丝钉的重量，果然只有中国航天能干出这事。
纪录片《盛会》第1集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,谢谢
纪录片《盛会》第1集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,谢谢！！！
纪录片《盛会》第1集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,棒
纪录片《盛会》第1集 揭秘2022年北京冬奥会开幕式 | Behind the Opening Ceremony of Beijing 2022 Winter Olympic Games,牛。感谢上传。整挺好👍👍👍
