Video Caption,Comment
GOING TO THE WINTER OLYMPICS | VLOG #5 | Stephie Soto,Can you please react to Pentatonix New Rules X Are you that somebody and Pentatonix on Lip Sync Battle? Thanks!
GOING TO THE WINTER OLYMPICS | VLOG #5 | Stephie Soto,Can you please react to Pentatonix Havana? I miss your ptx reactions!
GOING TO THE WINTER OLYMPICS | VLOG #5 | Stephie Soto,React to ptx havanna
GOING TO THE WINTER OLYMPICS | VLOG #5 | Stephie Soto,Love watching your amazing adventure.
GOING TO THE WINTER OLYMPICS | VLOG #5 | Stephie Soto,I Hope you are Having an Amazing Time!!!❤❤❤
GOING TO THE WINTER OLYMPICS | VLOG #5 | Stephie Soto,Luv everything about this.
