Video Caption,Comment
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,"Sky is such a beautiful soul. Thank you for our medal winning performance 🇬🇧. Her smile is so infectious too, wish her all the success in the future!"
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Unbelievable that this young girl has stayed true to herself and has not let all the success go to her head.Very inspirational.She also has a smile that lights up any room.Keep being you Sky.
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,👍👍
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Hello to Sky and Ocean haven’t seen you guys post in a while 👋👋
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Hi sky brown you are awesome and I love your skateboard videos they are so cool and I have learned a new trick from you you are amazing
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,︎
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,You might want to try pow surfing sometime. With all the skatebourding and surfing you do I think you can handle it. Pow surfing is snowboarding without the bindings on the board. Some pow surfers put grips on thier boards and some don't
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,"Hello Sky I watched every part of your Olympics Skateboarding Competitions on the BBC live from Tokyo it was wonderful to see you gain a medal 🥉 for Team GB 🇬🇧 Congratulations gorgeous you are such an inspirational young woman for anyone to try Skateboarding, Good luck with the Skateboarding and Surfboarding at the Paris 2024 Olympics and hopefully you will still be competing in 2028 at the LA Olympics in the same events, I would love to see you compete at the Winter Olympics in Snowboarding as I think you will come out on top of the mountain, love to you and all of your family ❤️"
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,I got excited.. I thought you were at the Winter Olympics 😕 Maybe the next one 🤗
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,天使！谢谢你！
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Super Video sky and ocean 🤩🔥🤟 keep shredding 👍💯
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Who else has been waiting for her to turn the comment section on so they can tell her how amazing she is?
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,"Hi Sky & Ocean. I love all your You Tube videos. Keep them coming. Well Done Sky, for winning your much deserved Bronze medal. From John."
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,こんにちは、スカイちゃん、北京オリンピック、スノボで出場するのかな？出るなら絶対応援しますよ❣️
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Hi sky and ocean you are both so inspiring and are so amazing
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Sky is the best and she is awesome
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Sky! you are so inspiring and i look up to you so much. i love your determination and bravery. you find fun in everything and you are so positive. keep being yourself!
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,Do more skateboard vidos
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,i love you sky your the best person ever😍😘🥰
Snowboarding in the Bejing Winter Olympics?! | Sky & Ocean Vlogs,The amazing sky brown.. 🤩🤩💕
