Video Caption,Comment
PYEONGCHANG WINTER OLYMPICS & HOKKAIDO POWDER SKIING! | VLOG 06 (JUST SEND IT TRAVEL),It is too bad to hear that your Olympic tickets had been canceled TT. Well but I hope you guys to visit Korea agsin.
PYEONGCHANG WINTER OLYMPICS & HOKKAIDO POWDER SKIING! | VLOG 06 (JUST SEND IT TRAVEL),"Wow, the Olympics kind of a let-down for you guys!!  But you've landed back on your feet in Japan..... The amount of snow is unbelievable!"
PYEONGCHANG WINTER OLYMPICS & HOKKAIDO POWDER SKIING! | VLOG 06 (JUST SEND IT TRAVEL),Incredible to see how much snow is piled up around your tent!
