Video Caption,Comment
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Why?
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,"How does this work , what's the point of ""cleaning"" in front of the graphite ?"
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,"One day, someone somewhere was mopping at home, and he decided to make it into an olympic sport."
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Fábrica de bostezos.
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Sport? 😆 😂
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,1:02 il momento più bello di questo video😄
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,No le. Entiendo a ese deporte wpero me da risa como le empiezan a rascar al piso de hielo
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Maybe some one who wanted their kids to clean the floors invented this type of sport. Jajaja
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,منو اللي شافها في التيك توك وجا يتاكد 😂
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Pocha lagane ka Olympics hai kya
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,How do you even play this lol it’s cool to watch tho
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Non approvato
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Name of this game??
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Is that Amy Schumer? 🤣
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Esporte mais bobo que já vi!😂😂😂
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,women simulator 💀💀💀💀💀💀💀
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,This is a real sport 🤣
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Trying to understand this sport... Are they sweeping away the ice to make a smoother path for the giant puck?
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,noice
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,Just searched 'curling' and this is the first result.
