Video Caption,Comment
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,I AM A BOSTON MASS RESIDENT BORN N RAISED I DISAGREE WITH A SHOOTOUT TO DECIDE THE WINNER SHOULD BE 20 MIN PERIODS SUDDEN DEATH
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,To bad.  !
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,One of the Canadian skaters took her silver medal off as soon as the presenter moved on to the next player.  Maybe she felt wearing a silver medal was beneath her.
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,USA  No. 17  ^^   Best~   ^ ^    I'm  Korean  ..  ㅋㅋ
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,я болею за Россию)
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,They're all beautiful!
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,тема сисек не раскрыта!
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,17:08
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,I'm glad the Canadian coach is feeling better after Dorothy's house fell on her.
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,What’s with the British guy calling a hockey game. That’s just odd.
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,"Couldn't they find a better play by player commentator, maybe a Canadian or American?"
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,What a terrible way to end a game. Shootouts are never the solution. NHL gives up the 3 on 3 OT and shootout gimmicks for the playoffs.
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,And i cant even walk on ice without falling lol
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,Rooney had ice in her veins!
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,Harvey Weinstien snuck in to coach team USA!!! WTH!!!! 02:48:46
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,What a WONDERFUL job by both teams! Bravo to the USA & CANADA love both of them since I only live 30 minutes from my lovely neighbors Canada we Americans love you!!!
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,That canadian Jocelyn Laroque took off her silver medal...lol! What a sore loser!
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,🇦🇹🇦🇹bog
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,Wow
USA v Canada - Women's Ice Hockey Gold Medal Match - PyeongChang 2018 | Throwback Thursday,0:19 2:27 2:42 0:35 33:53 45:27 52:58 1:48:39 2:36:05 2:49:52 2:57:33 3:01:20 3:04:24
