Video Caption,Comment
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,Queen 👑
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,새삼 연느님이 다시 보인다. 약물을 복용하면서까지 올림픽이라.... 러시아는 부끄러운 줄 알아라.
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,"완벽함, 퍼펙트🥰😍👍👍💯❤"
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,진짜.....약물로 만들어진 가짜보다 이렇게 피나는 노력의 연아선수 같은 선수들이 진짜인거야 러시아야~
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,I love the way she glides as if shes doing a ballet
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,amazing even without doping
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,스텝 시퀀스 아름답다
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,Is it just me or is there something off about this video? The frame rate is different than usual or something... There's a different upload of this performance by NBC Sports that feels fine.
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,I miss Queen Yuna. And I was touched by what she said about Russian doping for figure skaters around the world.She was a great person who lost her gold medal to a Russian player but didn't complain a word. It's so cool that she speaks out for her juniors.
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,2022년2월16일 발리예바 개인 쇼트 프로그램 끝난 다음날 보러 왔어요
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,Came here to cleanse my palate of the farce that is the 2022 Ladies Figure Skating competition.
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,12년이 지났음에도 여전히 이 우아한 최고의 클래스를 넘 볼 사람은 없음이 확실하다
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,This program will be remembered forever............. Yuna Kim is a true Champion....
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,감동 그 자체.. 2022년에 기받으러 또 왔습니다...
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,Still my favorite. Her jumps are incredible  and her musicality is untouchable.
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,She is so humble and yet so powerful!!! 💖
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,물의 요정 같구나...
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,슈방 벅차오른다
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,1:35 어떻게 저렇게 멀리 높게 뛰고 안정적으로 우아하게 착지할 수있지...요즘 피겨는 우아함은 전혀없고 기이하고 신기해서 보게되는 서커스같음. 2014년때처럼 러시아는 꼭! 이번 올림픽에서도 반드시 금메달을 따길바람. 수치스러운 금메달은 전혀 의미가없으니까. 차라리 일본과의 라이벌 구도일때가 그립다. 러시아 서커스좀 그만보고싶네
Yuna Kim - Free Skate - Ladies' Figure Skating | Vancouver 2010,"Now skating is dominated by quads, I miss the solid musicality AND technical ability. Her jumps are TEXTBOOK. Kim Yuna will always be the GOAT."
