Video Caption,Comment
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,"I'm shocked, what an incredible willpower, talent and training"
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,He is absolutely amazing 👍🏼super star 🌟
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,내가 살다살다 남의 나라 국대에까지 미치네
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,the absolute BEST performance ive ever seen
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,WOW!
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,Majestic!
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,Unbelievable
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,Whatta cutie I'm obsessed 😭😻
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,THIS IS A WHOLE ANOTHER LEVEL OF SEDUCTION WHAT
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,I see we have a Yuri on Ice super star!!
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,So cuteeeeeeeee!!!! and why he doesn't age!
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,"in my opinion, figure skating GOAT: yuzuru hanyu and yuna kim"
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,"wow, one thing i admire from athlete is their spirit. how hard their training was, i don't know, but surely, there wasn't easy. the tears, sweat, blood, everything, they put on their effort. What a beautiful thing i can see from human."
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,"lo amo, es increible lo que transmite, es maravilloso este chico <3"
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,これが８年前で、18歳の羽生結弦で、その時からこの表現力で、観客を自分の世界に引き込む演技をしてて、その上今年も素晴らしい演技を見せてくれたことに言葉がない…
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,This is my most favorite programme ever performed by Yuzuru...
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,AQUI ESTA TU COMENTARIO EN ESPAÑOL
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,One word- Brilliant!!!!!
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,ピアノ系のショートもよく似合うけど、やっぱりこれが1番好き
Yuzuru Hanyu Breaks Olympic Record - Full Short Program | #Sochi365,Ys fall in loce
