Video Caption,Comment
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,看到朱易在賽場摔倒 心情就像自己家寶貝女兒跌傷同樣感覺！賽埸兢技就是勝不驕敗不餒！運動員成王敗寇 觀眾也要學會成長升等！
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,没关系的，能参加奥运会就是一件很了不起的事情，后面希望你突破自我，创造好成绩！加油哦！！
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,代表自己的運動員一定要支持
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,proud of her
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,不要太苛刻對自己！亦不用灰心，因為能夠參加北京冬奧的都是精英！👍🇨🇳中國同胞是愛護妳的❤️
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,支持朱易💪💪💪加油
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,為什麼丟人？運動精神的意義就是挑戰自己，讓自己更進步，如此而已，加油！
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,朱易加油，胜败乃兵家常事。相信原因很多再接再厉，创造更好的成绩
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,妳永遠是我們的光榮❤️❤️❤️❤️❤️👍👍👍👍👍👍
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,巡
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,想想看吧，有多少人一生有机会在全世界面前代表一个国家？ 特别是有14亿人的中国，万分之一都不到。赶快为自己自豪吧！
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,不丢人！你是最棒的👍
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,哪里会丢人了！这要求也太高了吧！
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,你没有丢人！发挥失常是正常的！努力的人，无论结果如何，都是值得尊敬的。相信绝大多数人都是为你感到骄傲的！加油！相信自己！
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,一點都不丟人，所有的運動員和教練團隊都值得我們鼓掌喝彩！
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,好，调整好心态，为你加油！
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,我一点儿也没觉得有丢人加油！！！ 下一次还会支持你
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,無論成敗都是成長的過程，感謝你的付出，感謝你愛國家，支持你，靜待未來更好的你
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,无论结果会怎么样发出了你的最好的成绩就对了 Just give the best of you for the world. 谢谢所有的运动员为祖国努力了
朱易：之前的表现有点丢人 感谢所有人的支持加油 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,知道失败下次要更加努力，加油⛽
