Video Caption,Comment
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,Lets go Brandon!
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,I’m not the sharpest knife in the drawer but why does someone do a 180 after the guy before you did a 1980??
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,3:10 Em dành tiền không để mua đồ tết. Mà để mua hết trái tim anh
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,22:35 Trung thu xưa em thích lồng đèn giấy. Trung thu nay em thích làm vợ anh đấy
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,"20:56 Gọi anh là mì gói, vì em muốn ăn liền"
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,7:37 Em dành tiền không mua đồ tết. Mà để đó mua hết trái tim anh.
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,20:20 Xuân này tu hành không thính bả. Thế mà anh lại ngã vào em.
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,16:37 Pascal để viết phương trình. Còn anh thì để viết chuyện tình đôi ta
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,0:00 Dù mình mẩy có thương tích thì vẫn cố tương thích với em
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,"1:01 Nghe nói anh tiền nhiều không đếm xuể, không biết anh có muốn làm rể mẹ em không?"
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,Thank you x games cause I can't watch this live. I'll never stop watching.
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,What's with the pretty ladies staring at the camera between jumps.  It's not like they're doing anything.  Ring girls at least hold up a number between rounds
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,Amazing but props to the camera guy/girl following them down
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,Huge thank you xgames for putting this on youtube!
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,Hi
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,i never get why there have to be girls at the score boards.
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,Let’s get insane !!!!!!!
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,"Rene,Congratulations on winning the bronze medal !!!🤩🎖🤘"
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,that 180 was best trick  of the event
Men’s Snowboard Big Air: FULL COMPETITION | X Games Aspen 2022,REGINA!!!!!!!!!!!
