Video Caption,Comment
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,哈哈😄😄😄   ?
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,🇨🇳🇨🇳🇨🇳
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,👍🏼👍🏼👏🏼👏🏼
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,厉害了我的国
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,早幾年，深圳就有，傳媒人不可能不知。
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,中華民族子孫太棒了
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,好可惜，很遗憾😒因为疫情都沒机会参观冬奥会。
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,很多小餐厅都这样干了
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,不要開心得太早，既然機器人都能做這些食物，那人還可以做什麼？不如擔心自己以後的飯碗先啦！
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,中国科技
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,這就告訴全世界：我們中國連做菜都有機器人代替；有關「新疆強迫勞動的所有污衊、抹黑的謊言不攻自破並且成為天大的笑話！
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,感觉有一个地方可以改进，就是那个送餐的爪子打开的时候角度可以再往上点方便用餐人取餐，不然拿出来的时候就必须很小心不让饭菜碰到机器
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,中國最棒🤟🤟🤟🤟🤟🤟
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,So Proud of China 👍👍👍😍😍😍
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,祖國科研人員繼續加油
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,🈶🈶🈶🈶🐅
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,BBC肯定会报道强迫机器劳动，要求大陆维护“机器人权”
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,想到海綿寶寶用機器做蟹堡那集😨
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,其实从麒麟9000的功耗和能效比就能看出来，中国芯片的设计和理论已经是世界领先。但中国不能自主研发芯片，是最大的软肋。
北京冬奥餐厅机器人做菜送餐 老外记者惊呆了 2022016 | CCTV中文国际 #shorts,超暖的啦
