Video Caption,Comment
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,北京鴨和餃子是我最愛的美食！
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,應該叫中國人為「吃貨民族」吧？🤣
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,中国人点赞 I LOVE CHINA.
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,中國美食是一張世界名片
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,中國最好最有愛心，加油呀。
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,真棒👍👍👍👍………………
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,烤鴨餃子真的好吃
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,我都想去食呀🥰🥰
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,广式烧鸭也是很好吃的。不过我们不像北京烤鸭那样夹在面皮里吃，而是搭配饭吃。味道其实比北京烤鸭好吃。
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,剩下的不要倒掉，   拿去给山里的穷人吧。
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,中國美食外國難比
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,👍🏿
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,我也好希望能吃到
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,哇塞👏真棒👍🏻
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,我都想吃！！！中国美食世界第一！烤鸭！啊啊啊啊啊！饺子！啊啊啊啊啊！❤️
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,我每次去北京，丟下行李就去吃餃子，不知怎的，餃子就是北京的才好吃，不明白為何這樣。
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,中国加油
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,to keep fat after contest
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,我来自东南亚。我要说的是，真正美食都在亚洲，尤其是中国。中国美食不须要什么西方米其林或冰淇淋。中国美食标准比西方米其林还要来得更高。许多西方人都没这个口福。
外国运动员对北京冬奥村美食有多着迷？一天能吃掉100多公斤饺子、80多只烤鸭 | CCTV,"生活习惯而已, 我很喜欢, 每天都是面包、牛奶、水果、玉米片. 有时吃牛肉, 他们的面包大部份是天然发酵, 口感很好. 我吃了半年😂"
