Video Caption,Comment
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,"Totally wrong man, y'all are certified haters, I'm just shame of y'all"
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,It is the same as USA appointing a black president to show that racism is over.
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,"10 more generations down, Ronny, you are still seen as Chinese...be careful when you walk down China town these days! Keep laughing at the Winter Olympic!"
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,"Trevor Noah is not funny, is not entertaining and is not smart. But I support her as she Transitions to Female. 🚺"
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,I love Ronny and Roy together!
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,True! Americans have absolutely no idea of the meaning of the word quarantine!
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Bye bye Daily Show
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Roy trynna start a boy band with those pants😂
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Ronny has the BEST SHOES!
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Keep gambling illegal. Weeds ok
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,I'm in NY and all I hear is hey we have a risk free beat for you. Here have it. TAKE IT!
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,The ending was the funniest of the whole thing by far.
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,2:37 is that a raw chicken in the right-hand corner???
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Let China have the Olympics. What could go wrong...
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Just realized that we forgot to watch Puppy Bowl.
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,India diplomatic boycotted  this not because of said reason but they glorify a military officer and make him torchbearer who was involved in Galwan Valley incident .
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Why TF out of all the videos that I watch from YouTube you’re the one with the lowest “volume”
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,It causes so much much farting 🤣🤣🤣🤣
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Rohnny plz more work
The Winter Games & Super Bowl LVI - I Apologize for Talking While You Were Talking | The Daily Show,Sad to see this channel turning into a propaganda tool
