Video Caption,Comment
Beijing 2022| 10 golds medals were won on Day 4 Winter Olympics| Curling| Luge| cross country skiing,Big congrats!
Beijing 2022| 10 golds medals were won on Day 4 Winter Olympics| Curling| Luge| cross country skiing,FREE TIBET   F#CK THE OLYMPICS
Beijing 2022| 10 golds medals were won on Day 4 Winter Olympics| Curling| Luge| cross country skiing,We have no business being there ..
Beijing 2022| 10 golds medals were won on Day 4 Winter Olympics| Curling| Luge| cross country skiing,Glad Italy won the curling. They deserve it.
Beijing 2022| 10 golds medals were won on Day 4 Winter Olympics| Curling| Luge| cross country skiing,fantastic .....
