Video Caption,Comment
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,😀👍🏻🌎🇲🇽 Bravoo Donovan
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,¡Donovan estamos muy orgullosos de ti! ⛸️🏆🥇💪🇲🇽
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,❤️❤️❤️❤️❤️❤️
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Wonderful interview!  Thanks!
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,👏👏🏽👏🏾🇲🇽👏🏼👏🏿👏🏻
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,"Such a nice kiddo he learn english to comunícate better!  Taking into consideration how difficult it is to become a profesional skater in México where no one support the atletes, Donovan made it... yai congrats!!"
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,"We mexicans are very proud  of Donovan's achievements, we enjoy every  one of his performances.  He is so humble and has a beautiful smile, he's lovely."
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,"Arriba Donovan, eres un artista sensitivo sobre el hielo, Felicidades!!"
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Excelente
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Such a sweet guy ! 🤗
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Wish you the best!
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Good to see him representing Mexico with such pride.
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Какой приятный молодой человек!Молодец выступил неплохо на ОИ. Одно его участие как представителя Южной Америки  и своей страны - Мексики впервые в истории ОИ это уже геройство. Браво!
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,"Congratulation muy darling ,from Ecuador"
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Eres nuestro orgullo 🇲🇽😭💕😍para nosotros ya eres campeón
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Donovan has so much charisma! So proud of him! Orgullo Mexicano!❤️🇲🇽
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Im very proud of you
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Proud of you!!!
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,Hermoso como representa a Mexico🇲🇽
Mexican figure skater Donovan Carrillo talks about experiences at Beijing 2022 | Juegos Olímpicos,DIOS TE BENDIGA  HERMOSO  NIÑO. ESTAMOS MUY ORGULLOSOS  DE TI.  ERES LO MÁXIMO.
