Video Caption,Comment
GLOBALink | Beijing 2022 Olympic Torch Relay launched in Beijing,Proud 👍 of Chinese serfs serving Russia!
GLOBALink | Beijing 2022 Olympic Torch Relay launched in Beijing,"Good luck, good games in the coming Beijing Winter Olympics 🇨🇳"
GLOBALink | Beijing 2022 Olympic Torch Relay launched in Beijing,Way to go!
